ListingKey	Category	APR
10273602499503308B223C1	2	12.02%
0F683599787642317AE85C5	1	16.32%
0F6C3603015887476F3F015	1	22.97%
10A43601079743929992413	1	19.63%
0F1B3603414231556D2BFFD	1	19.74%
0F37360159310530849DA23	1	13.64%
10503600874171217579DB4	1	27.78%
1079360150757893206802F	1	22.77%
0FFC3601335963354A35791	1	12.69%
0F653600910253363BBD659	1	17.15%
0F5235989252645067B75F7	1	18.91%
10EC3600794645468CB39C9	1	13.80%
34953598707923990EB3862	1	19.63%
1.13336E+22	1	28.94%
108E36027739898797E47EC	6	9.47%
104436007314890417D7D4A	1	16.66%
34BA3601932393765853DC4	1	20.35%
34CA3604869254447C5ED43	1	13.73%
10533599454531437D39C05	1	21.83%
106335993636414276CB477	3	32.45%
10C136034844149252AAAB3	1	11.60%
2EB43599416431334B2A6D6	1	7.92%
2EC03601793111440602D71	1	18.58%
2F293599751524472C82DEA	1	13.80%
106D3601273512579498E2A	1	22.77%
11A236001770344120C6856	1	9.43%
11A33599005391942488F1E	1	32.45%
2EC43601682755421E3D409	1	18.63%
30223602071250433F786E9	1	14.24%
2EDB3601096117346696CD1	7	16.32%
2EFC36028887817232507BC	1	15.87%
2F073602314370159514FCD	1	15.45%
11983601631322682D1C886	1	28.85%
306736023790192924ADC4E	2	16.73%
306936024573363075E56A0	1	15.87%
00773599091353280B945F9	1	25.28%
09153603221775020A1B5C4	1	21.35%
0918359969888132223E8ED	1	23.44%
08BC3599164655446FCB378	1	12.08%
30CF36010087770999A7FE8	1	9.43%
30D83601761024662FC62C4	2	13.19%
08D83602875696442E4606E	1	16.99%
3.14336E+22	1	16.68%
31713599045527501725C72	1	13.84%
40F635999158765959823E9	1	24.86%
09CC36031229351488C85D1	1	18.22%
09723601118678853A5118C	1	9.03%
01033600510613987E738B1	7	16.97%
09973601863213855D562A9	7	18.28%
09BA360431651559524CDA0	1	18.43%
089B35990263570590930AA	3	32.45%
00EC3604528464581EB9190	1	14.53%
32123598588424160C218A4	1	17.33%
08D136012845127787DBF97	1	13.80%
321B360212708286604CE8F	1	16.32%
3BBC360153221876134A3A0	1	21.65%
3BC83601275934190566C97	1	13.80%
0949360314756742776DE23	1	19.14%
00DA360324095386464D10C	1	26.38%
00EB3603850993876D30D4B	1	14.04%
3C393599897257485663279	1	12.69%
3C5136010625016495D9DAD	1	16.69%
00D93600128117852681D4F	1	23.85%
2C753603308658449A8BF18	1	20.05%
082736023113565535A031F	1	14.24%
8.3036E+21	1	11.56%
010D3600620255705488446	1	19.86%
3CFF359958055323890B9D4	1	16.32%
00993599688374176DF6583	3	18.28%
37763602721714873EEADCE	7	21.17%
0A8A3599440405519A694AC	1	22.14%
3D9536009379015189AE6D9	1	12.69%
3.17E+24	1	18.56%
01163604029146842E28D9C	1	31.98%
0ABC3600921609866C02CE3	1	19.86%
3DE736011063661383EA0DF	1	20.35%
3DFB35983573126303A5496	1	20.93%
32253600030098277BEA589	1	9.03%
322936002397657303F6DAD	3	15.43%
0AD735990812740560DC5B5	1	24.56%
0AFD360022631060520926E	1	17.69%
0266359916949542075D0A4	1	18.99%
026D36031482974295864EA	1	12.73%
3E4735988808275847F6226	1	30.13%
3E653601690998640C2E0B0	1	14.15%
3E673599399196432D80D84	1	9.43%
32633602322878854D2D631	1	19.54%
02853600327063693357F78	1	26.15%
47C536042683082283CD884	1	19.14%
2E303601415291589C5093A	1	28.60%
02073603622053446F66AE6	1	9.07%
354D3603799650128E20F1E	1	7.96%
43A83603193817429483E69	1	19.74%
02203602335754811A122B3	2	14.21%
0A4C3602537635668ED9F0C	1	16.33%
43C936031226397319E8D65	7	9.07%
02553601468841089B52E95	1	17.97%
486F3601936637563A51076	1	20.52%
092C3602644838861AF9128	1	19.66%
09CE3598442263966182FBC	1	12.69%
43F13601997802055C9FE3A	1	17.19%
2E68359954936233910DC3F	1	19.50%
42EB3599631118263B325B6	1	30.13%
09D83604299228256AD3855	13	20.05%
0A043601665771570950E74	1	18.91%
2E6B360087278412767C3F3	7	14.15%
2E803602991172356E1113B	1	20.87%
027E3598539219304AB3F9E	1	29.57%
2.8536E+21	1	16.33%
373A3601432590790F32F4B	7	12.64%
375536006764001963A069B	1	9.43%
375D3601371271741397E1F	1	12.69%
0A563603294561080AC9FB9	1	19.86%
