ListingKey	APR	Category	Year
1.30E+19	12.66%	3	2010
5.17E+19	33.55%	15	2012
8.34227E+19	11.90%	1	2008
9.35991E+19	13.64%	1	2014
1.62E+20	17.37%	1	2008
2.13521E+20	30.53%	3	2011
2.13602E+20	22.97%	1	2014
2.53584E+20	13.70%	7	2013
2.63595E+20	16.32%	1	2013
2.93414E+20	23.24%	1	2008
3.22E+20	8.38%	1	2008
3.31E+20	24.25%	6	2012
4.33419E+20	18.45%	4	2008
4.43576E+20	16.50%	1	2013
4.50E+20	12.53%	1	2013
5.11E+20	9.64%	1	2010
5.35E+20	27.47%	1	2011
5.53489E+20	28.32%	1	2010
5.53587E+20	35.36%	1	2013
5.8341E+20	20.74%	4	2008
7.23601E+20	12.69%	1	2014
8.16E+20	17.36%	18	2012
8.43461E+20	28.68%	1	2009
8.73485E+20	28.57%	1	2010
9.03576E+20	24.28%	1	2013
9.73E+20	37.45%	7	2008
9.73589E+20	24.25%	1	2013
1.07358E+21	27.29%	1	2013
1.37346E+21	27.17%	1	2009
1.3936E+21	21.17%	1	2013
1.47359E+21	21.58%	1	2013
1.4936E+21	22.81%	1	2014
1.55343E+21	27.31%	3	2008
1.56342E+21	14.41%	1	2008
1.6436E+21	18.31%	1	2014
1.65352E+21	16.06%	3	2011
1.66352E+21	20.86%	7	2011
1.88356E+21	35.80%	2	2012
2.34359E+21	32.44%	1	2013
2.40358E+21	19.36%	1	2013
2.41351E+21	16.65%	7	2011
2.42355E+21	17.75%	2	2012
2.61358E+21	29.54%	3	2013
2.65352E+21	30.53%	7	2011
2.7136E+21	21.69%	15	2014
2.84355E+21	27.46%	13	2012
2.8536E+21	16.33%	1	2014
2.96355E+21	17.85%	7	2012
3.01E+21	16.97%	3	2008
3.04E+21	6.73%	1	2013
3.05356E+21	24.76%	1	2012
3.17351E+21	25.42%	1	2011
3.24352E+21	35.64%	7	2011
3.27355E+21	12.43%	3	2012
3.43359E+21	22.91%	2	2013
3.52347E+21	23.30%	3	2009
3.61357E+21	29.17%	1	2013
3.78355E+21	27.46%	1	2012
3.78359E+21	23.54%	1	2013
3.81356E+21	18.73%	1	2012
3.88342E+21	13.41%	4	2008
3.88354E+21	28.70%	7	2012
3.93353E+21	30.53%	1	2011
4.00346E+21	37.45%	7	2009
4.01352E+21	9.33%	7	2011
4.05359E+21	27.29%	20	2013
4.05359E+21	27.29%	20	2013
4.14356E+21	35.80%	13	2012
4.20356E+21	29.55%	3	2012
4.27354E+21	29.50%	1	2011
4.34356E+21	14.99%	1	2012
4.40354E+21	24.25%	3	2012
4.5236E+21	14.21%	1	2014
4.57355E+21	33.55%	2	2012
4.62358E+21	15.63%	1	2013
4.6535E+21	31.05%	6	2010
4.66E+21	29.54%	2	2013
4.84E+21	20.44%	1	2011
4.85356E+21	28.32%	2	2012
